Dist_Name,Human_fatality,Human_injured,Population,Mean_Flood_Duration,Fatalities_per_1000,Injured_per_1000,Impact_Score,Impact_Level,Dist_Name_clean,Flood_Count,Avg_Flood_Duration,Max_Flood_Duration,Total_Flood_Duration,Districts_clean,Event_Impact,DFSI,Population_Density,Supply_Priority_Score,Supply_Priority_Level
Hojai,57,1,1112181,10.0,0.05125065074839437,0.0008991342236560416,1.0260748924860252,Low,hojai,14.0,1.0714285714285714,2.0,15.0,hojai,4.6000000000000005,0,0.08297382616738677,0.059128518456051285,Low
South Salmara Mancachar,39,1,533060,16.0,0.07316249577908679,0.0018759614302329944,1.63751922860466,Low,south salmara mancachar,1.0,6.0,6.0,6.0,south salmara mancachar,0.0,0,0.03976873168736671,0.013233163006531382,Low
Karbi Anglong,66,5,693265,20.0,0.09520169055123222,0.007212249284184258,2.0512069699177085,Low,karbi anglong,6.0,1.1666666666666667,2.0,7.0,karbi anglong,0.2,0,0.05172076271572108,0.03254792309233647,Low
West Karbi Anglong,38,1,363939,26.0,0.10441310219569763,0.0027477132156762535,2.653580407705687,Low,west karbi anglong,6.0,1.1666666666666667,2.0,7.0,karbi anglong,0.2,0,0.027151525985008352,0.03642972959185355,Low
Pashchim Champaran,194,11,4925046,20.0,0.039390495032939794,0.0022334816771254523,2.0208119883550326,Low,pashchim champaran,1.0,1.0,1.0,1.0,pashchim champaran,0.8,0,0.36743112017772606,0.01756405081053255,Low
Purba Champaran,184,20,6322257,19.0,0.02910353059042048,0.0031634272380891824,1.916133478914255,Low,purba champaran,2.0,7.0,7.0,14.0,purbi champaran,0.0,0,0.4716694974141297,0.0190053686030507,Low
Sitamarhi,196,1,4182895,20.0,0.04685749941129289,0.00023906887454741275,2.02354828414292,Low,sitamarhi,2.0,1.0,1.0,2.0,sitamarhi,0.0,0,0.31206323665521285,0.019444918504780324,Low
Sheohar,136,1,851775,23.0,0.15966657861524464,0.0011740189604062107,2.3804202987878256,Low,sheohar,0.0,0.0,0.0,0.0,,0.0,0,0.0635463389355922,0.014853289706098444,Low
Gopalganj,129,10,2913408,24.0,0.04427804138658231,0.0034324063090373884,2.42385522384781,Low,gopalganj,0.0,0.0,0.0,0.0,,0.0,0,0.21735365821451183,0.0153864194305729,Low
Samastipur,152,10,5463227,21.0,0.02782238409643238,0.0018304200063442356,2.1148264020513885,Low,samastipur,0.0,0.0,0.0,0.0,,0.0,0,0.40758190205638645,0.013684088351302652,Low
Katihar,221,2,3735857,20.0,0.05915643987443845,0.0005353523970537416,2.029845896135746,Low,katihar,3.0,5.666666666666667,7.0,17.0,katihar,0.4,0,0.2787121424518267,0.02333797989649919,Low
Khagaria,166,10,2060105,23.0,0.08057841711951576,0.0048541215132238405,2.34271626931637,Low,khagaria,0.0,0.0,0.0,0.0,,0.0,0,0.15369332343976774,0.014754541995277037,Low
Bhojpur,119,0,3338604,21.0,0.0356436402759956,0.0,2.1178218201379977,Low,bhojpur,1.0,1.0,1.0,1.0,bhojpur,2.4000000000000004,0,0.24907523859672315,0.020607228616409644,Low
Buxar,89,0,2014287,25.0,0.044184368960331864,0.0,2.522092184480166,Low,buxar,1.0,1.0,1.0,1.0,buxar,0.8,0,0.15027508956656066,0.02047421973226868,Low
Darbhanga,207,9,4562640,18.0,0.04536847088527695,0.0019725422124033457,1.82367050654884,Low,darbhanga,1.0,3.0,3.0,3.0,darbhanga,0.4,0,0.3403939630549035,0.015585482547629396,Low
Saharsa,167,9,2422652,23.0,0.06893272331312958,0.0037149371845399174,2.336323830248835,Low,saharsa,0.0,0.0,0.0,0.0,,0.0,0,0.1807409998121456,0.014756947522086776,Low
Kaimur (bhabua),88,0,1966164,27.0,0.04475720234934624,0.0,2.722378601174673,Low,kaimur (bhabua),0.0,0.0,0.0,0.0,,0.0,0,0.1466848920747377,0.01721495423046989,Low
Rohtas,82,0,3605080,29.0,0.0227456810944556,0.0,2.9113728405472283,Low,rohtas,2.0,1.0,1.0,2.0,rohtak,0.0,0,0.2689555757916407,0.025155001508858233,Low
Jamui,80,0,2203798,29.0,0.03630096769304628,0.0,2.9181504838465235,Low,jamui,0.0,0.0,0.0,0.0,,0.0,0,0.1644134832010569,0.018518397256770038,Low
Banka,120,0,2787874,26.0,0.0430435521834918,0.0,2.621521776091746,Low,banka,1.0,1.0,1.0,1.0,bankura,15.0,0,0.207988243507646,0.04432803522414974,Low
Nawada,98,23,2765346,25.0,0.03543860334294515,0.008317223233548351,2.5218779132882467,Low,nawada,1.0,7.0,7.0,7.0,nawada,2.1,0,0.20630755092622366,0.02267996190692906,Low
Gaya,122,0,5429170,23.0,0.022471206464339852,0.0,2.3112356032321704,Low,gaya,1.0,1.0,1.0,1.0,gaya,0.0,0,0.40504109296345764,0.018213976009922812,Low
Munger,134,4,1690301,22.0,0.07927582128863439,0.0023664424265264,2.2408211318575804,Low,munger,3.0,3.0,7.0,9.0,munger,3.8000000000000003,0,0.12610424143602528,0.029997145763315008,Low
Vaishali,111,2,4598311,23.0,0.024139298103151352,0.00043494230816488923,2.3122871202056583,Low,vaishali,0.0,0.0,0.0,0.0,,0.0,0,0.3430551839831668,0.014864644358793897,Low
Begusarai,126,10,3830215,22.0,0.032896325663180785,0.00261081949707784,2.2177535725801296,Low,begusarai,2.0,1.0,1.0,2.0,begusarai,0.0,0,0.2857516839378818,0.020666480457629432,Low
Bhagalpur,161,12,3509828,20.0,0.04587119368812375,0.0034189709581210247,2.0246450823231226,Low,bhagalpur,3.0,1.3333333333333333,2.0,4.0,bhagalpur,0.8,0,0.2618493377871289,0.023927730320511327,Low
Lakhisarai,89,0,1174729,25.0,0.0757621545054221,0.0,2.537881077252711,Low,lakhisarai,0.0,0.0,0.0,0.0,,0.0,0,0.087640195111936,0.015917665859393956,Low
Sheikhpura,82,0,820089,28.0,0.09998914751935462,0.0,2.8499945737596777,Low,sheikhpura,0.0,0.0,0.0,0.0,,0.0,0,0.061182417365326376,0.01790663984788207,Low
Arwal,85,0,591972,27.0,0.14358787239937026,0.0,2.7717939361996855,Low,arwal,9.0,2.3333333333333335,7.0,21.0,garhwal,39.0,0,0.04416383828168282,0.11014547899721049,Low
Jehanabad,87,0,1409612,27.0,0.06171911135830285,0.0,2.7308595556791517,Low,jehanabad,0.0,0.0,0.0,0.0,,0.0,0,0.10516354896501776,0.017202588169362598,Low
Nalanda,108,0,3649192,23.0,0.029595592668185174,0.0,2.314797796334093,Low,nalanda,0.0,0.0,0.0,0.0,,0.0,0,0.27224653420568995,0.014765739072757487,Low
Patna,381,30,6868950,16.0,0.05546699277182102,0.004367479745812679,1.629917236258817,Low,patna,9.0,1.0,1.0,9.0,patna,86.8,0,0.5124553137056571,0.1812747700763225,Low
Saran,177,2,4674827,22.0,0.037862363676773494,0.0004278233183816214,2.219145093497578,Low,saran,2.0,7.5,14.0,15.0,saran,18.4,0,0.3487636300751462,0.05072673846556152,Low
Siwan,133,0,3880318,23.0,0.03427554133449887,0.0,2.31713777066725,Low,siwan,0.0,0.0,0.0,0.0,,0.0,0,0.28948959855111883,0.014809039206126005,Low
Muzaffarpur,201,18,6144680,19.0,0.03271122336720546,0.0029293632866154136,1.9178202933269106,Low,muzaffarpur,1.0,1.0,1.0,1.0,muzaffarpur,2.1999999999999997,0,0.45842143515688377,0.01932031627950227,Low
Madhepura,156,0,2498415,24.0,0.06243958669796651,0.0,2.4312197933489834,Low,madhepura,0.0,0.0,0.0,0.0,,0.0,0,0.1863932686352236,0.015383974528674326,Low
Araria,162,0,3634320,23.0,0.04457505117876247,0.0,2.3222875255893816,Low,araria,0.0,0.0,0.0,0.0,,0.0,0,0.2711370144937354,0.014812695602117152,Low
Supaul,162,10,2904278,22.0,0.055779784166667234,0.003443196553497978,2.229611490360083,Low,supaul,0.0,0.0,0.0,0.0,,0.0,0,0.21667251815465804,0.014120672701806296,Low
Madhubani,216,10,5126077,19.0,0.042137486424804,0.0019508095567038887,1.9220441479907542,Low,madhubani,1.0,1.0,1.0,1.0,madhubani,0.0,0,0.3824289588822678,0.015643312001891188,Low
Purnia,166,0,4127576,21.0,0.0402173091422181,0.0,2.120108654571109,Low,purnia,2.0,4.0,7.0,8.0,purnia,0.0,0,0.30793618441303855,0.020066864510580065,Low
Kishanganj,143,0,2214692,22.0,0.06456879782832105,0.0,2.2322843989141608,Low,kishanganj,1.0,3.0,3.0,3.0,kishanganj,0.4,0,0.16522622578726137,0.017960682667139356,Low
Aurangabad,301,46,3160597,13.0,0.09523517234244037,0.014554212384558994,1.3548946923634997,Low,aurangabad,12.0,2.25,10.0,27.0,aurangabad,22.3,0,0.23579509635856408,0.08381677614830922,Low
Chandigarh,17,13,897511,2.0,0.018941272028977916,0.014484502139806642,0.2167128870843923,Low,chandigarh,19.0,2.263157894736842,14.0,43.0,chandigarh,10.7,0,0.06695845523104375,0.08003809819225256,Low
Mahasamund,5,56,1179980,4.0,0.004237359955253479,0.047458431498838966,0.42584789572704623,Low,mahasamund,0.0,0.0,0.0,0.0,,0.0,0,0.0880319439021104,0.0021677565294851075,Low
Uttar Bastar Kanker,7,2,868469,1.0,0.00806016104201762,0.0023029031548621767,0.1051815320984399,Low,uttar bastar kanker,3.0,1.6666666666666667,3.0,5.0,uttar kashi bastar kanker,0.4,0,0.06479178824109046,0.010459125330469367,Low
Narayanpur,6,2,120311,2.0,0.049870751635345066,0.016623583878448353,0.23324716775689672,Low,narayanpur,0.0,0.0,0.0,0.0,,0.0,0,0.008975754845681116,0.0007851400822339251,Low
Bastar,9,38,948753,4.0,0.009486136012218142,0.04005257427380994,0.42476935514301406,Low,bastar,6.0,2.6666666666666665,7.0,16.0,bastar,13.1,0,0.07078134449139727,0.04298650459338148,Low
Raipur,39,66,2814996,3.0,0.013854371373884724,0.02344585924811261,0.31865011531099874,Low,raipur,10.0,3.1,7.0,31.0,raipur,1.4,0,0.21001166965259171,0.036499944455673325,Low
Durg,16,0,2010685,2.0,0.007957487125034503,0.0,0.20397874356251727,Low,durg,3.0,1.3333333333333333,2.0,4.0,durg,0.8,0,0.1500063637729579,0.011892108094777571,Low
Dhamtari,13,1,897907,1.0,0.014478114103130948,0.0011137010848562268,0.10779590759399359,Low,dhamtari,1.0,1.0,1.0,1.0,dhamtari,1.2000000000000002,0,0.06698799865532656,0.005271262376897503,Low
Balod,0,0,961306,3.0,0.0,0.0,0.30000000000000004,Low,balod,1.0,3.0,3.0,3.0,balod,0.0,0,0.07171785612024115,0.004577147734098636,Low
Koriya,1,0,763582,1.0,0.0013096170417846414,0.0,0.10065480852089233,Low,koriya,0.0,0.0,0.0,0.0,,0.0,0,0.05696673485030362,0.0,Low
Jashpur,2,0,942821,1.0,0.002121293437460557,0.0,0.10106064671873029,Low,jashpur,0.0,0.0,0.0,0.0,,0.0,0,0.07033878996400925,2.440717578974978e-05,Low
Korba,1,1,1414402,2.0,0.0007070125749256577,0.0007070125749256577,0.20070701257492568,Low,korba,1.0,1.0,1.0,1.0,korba,0.0,0,0.10552090503146896,0.003985712763190253,Low
Kabeerdham,0,0,1131600,2.0,0.0,0.0,0.2,Low,kabeerdham,1.0,2.0,2.0,2.0,kabeerdham,0.0,0,0.08442257302634631,0.003946769146409435,Low
Janjgir - Champa,2,2,2018726,2.0,0.0009907238525684022,0.0009907238525684022,0.20099072385256841,Low,janjgir - champa,0.0,0.0,0.0,0.0,,0.0,0,0.15060625941603392,0.0008056560853521349,Low
Bametara,3,0,909116,2.0,0.0032999089225137384,0.0,0.2016499544612569,Low,bametara,1.0,2.0,2.0,2.0,bemetara,0.0,0,0.06782424169266513,0.0039304951325313964,Low
Rajnandgaon,23,14,1792617,2.0,0.012830403817435625,0.007809811019308642,0.21032010741837215,Low,rajnandgaon,2.0,1.0,1.0,2.0,rajnandgaon,6.0,0,0.13373748638279415,0.017115372763685025,Low
Baloda Bazar,0,0,1681629,2.0,0.0,0.0,0.2,Low,baloda bazar,0.0,0.0,0.0,0.0,,0.0,0,0.12545727028607434,0.0007582723203993502,Low
Mungeli,2,4,784748,2.0,0.002548588846355773,0.005097177692711546,0.20382288326953368,Low,mungeli,1.0,1.0,1.0,1.0,mungeli,1.6,0,0.058545815957298714,0.006533769519223296,Low
Surguja,12,2,971194,1.0,0.012355924768892723,0.0020593207948154542,0.1072076227818541,Low,surguja,3.0,1.0,1.0,3.0,surguja,3.8000000000000003,0,0.07245554647203022,0.016018777559555344,Low
Balrampur,58,26,853775,20.0,0.06793358906034963,0.03045298819946707,2.0491932886299082,Low,balrampur,3.0,2.6666666666666665,6.0,8.0,balrampur,1.6,0,0.06369554814914177,0.025067144193711057,Low
Bijapur,85,20,275997,9.0,0.3079743620401671,0.07246455577415696,1.090219458907162,Low,bijapur,10.0,1.9,7.0,19.0,bijapur,2.8,0,0.02059064765602024,0.04349369407555984,Low
Raigarh,328,93,1654533,3.0,0.19824325051238023,0.056209214322107806,0.42722623241724406,Low,raigarh,16.0,2.375,14.0,38.0,raigarh,82.3,0,0.12343578386090479,0.1882739887444996,Low
